_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
aleksch01,"February 26, 1959","Litchfield, Connecticut",0.5,47.8,0.0,73.3,74,9.1,5.1,3.6,0.4,47.8,"University of Kentucky, University of Connecticut",76th overall,4th round,Chicago Bulls,1982,6-11,"Wamogo in Litchfield, Connecticut",Chuck Aleksinas,Center,Right,260lb
alexacl01,"November 16, 1995","Chicago, Illinois",0.0,50.0,-,-,8,11.6,1.3,0.8,0.0,50.0,University of Kansas,,,,,6-8,"Curie in Chicago, Illinois",Cliff Alexander,Power Forward,Right,245lb
alexaco01,"June 22, 1973","Waynesboro, Virginia",2.7,38.9,35.4,75.6,307,12.4,5.5,1.6,3.0,46.8,University of Virginia,29th overall,1st round,San Antonio Spurs,1995,6-1,"Oak Hill Academy in Mouth of Wilson, Virginia",Cory Alexander,Shooting Guard and Point Guard,Right,185lb
alexaco02,"April 27, 1977","Bridgeport, Connecticut",1.2,42.2,33.9,81.3,187,11.5,9.0,2.2,4.1,43.5,"University of Virginia, California State University, Fresno",13th overall,1st round,Orlando Magic,2000,6-5,"Jordan in Durham, North Carolina",Courtney Alexander,Point Guard and Shooting Guard,Right,205lb
alexaga01,"November 1, 1969","Jacksonville, Florida",0.2,57.1,-,33.3,11,8.6,1.7,1.4,0.0,57.1,University of South Florida,,,,,6-7,"William M. Raines in Jacksonville, Florida",Gary Alexander,Power Forward,Right,240lb
alexajo01,"December 26, 1986","Kaohsiung, Taiwan",0.7,41.0,34.0,69.8,67,9.9,4.2,1.8,0.5,44.2,West Virginia University,8th overall,1st round,Milwaukee Bucks,2008,6-8,"Hargrave Military Academy in Chatham, Virginia",Joe Alexander,Small Forward,Right,230lb
alexavi01,"August 31, 1969","Detroit, Michigan",0.9,51.8,28.6,63.4,286,13.7,8.9,4.8,8.8,52.2,Iowa State University,17th overall,1st round,Golden State Warriors,1991,6-9,"Denby in Detroit, Michigan",Victor Alexander,Center,Right,265lb
alforst01,"November 23, 1964","Franklin, Indiana",1.0,45.9,32.4,87.0,169,14.4,4.4,0.9,3.2,48.7,Indiana University,26th overall,2nd round,Dallas Mavericks,1987,6-2,"Chrysler in New Castle, Indiana",Steve Alford,Point Guard,Right,183lb
alkinra01,"October 29, 1997","Brooklyn, New York",1.3,33.3,25.0,66.7,10,8.1,3.7,2.6,-0.1,37.2,University of Arizona,,,,,6-5,"Word of God Academy in Raleigh, North Carolina",Rawle Alkins,Shooting Guard,Right,225lb
allenbi01,,,0.6,42.9,100.0,58.6,38,11.9,7.9,7.1,0.6,43.2,New Mexico State University,,,,,6-8,,Bill Allen,Center,Right,205lb
allenbo01,"July 17, 1946",,0.4,32.6,,55.6,27,6.8,1.8,2.1,0.1,,Marshall University,71st overall,6th round,San Francisco Warriors,1968,6-9,,Bob Allen,Power Forward,Right,205lb
allengr01,"October 8, 1995","Jacksonville, Florida",0.7,37.6,32.3,75.0,38,7.5,5.6,0.6,0.0,46.6,Duke University,21st overall,1st round,Utah Jazz,2018,6-5,"Providence School in Jacksonville, Florida",Grayson Allen,Shooting Guard,Right,198lb
allenja01,"April 21, 1998","Austin, Texas",1.0,59.0,18.3,73.2,152,18.1,9.6,7.0,11.9,59.5,University of Texas at Austin,22nd overall,1st round,Brooklyn Nets,2017,6-11,"St. Stephen's Episcopal School in Austin, Texas",Jarrett Allen,Center,Right,237lb
allenje01,"January 28, 1973","Philadelphia, Pennsylvania",1.7,35.0,31.7,63.0,117,8.5,2.9,1.1,0.2,41.1,University of Pennsylvania,49th overall,2nd round,Minnesota Timberwolves,1995,6-4,"Episcopal Academy in Merion Station, Pennsylvania",Jerome Allen,Shooting Guard,Right,184lb
allenka01,"January 15, 1993","Wilmington, North Carolina",2.4,43.6,36.2,77.8,37,13.4,5.6,1.7,0.9,48.8,University of Arizona,53rd overall,2nd round,Boston Celtics,2017,6-3,"New Hanover in Wilmington, North Carolina",Kadeem Allen,Shooting Guard and Point Guard,Right,192lb
allenla01,"February 4, 1989","Morrisville, Pennsylvania",1.0,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,6-9,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb
allenlu01,"September 26, 1947","Kansas City, Kansas",4.5,46.3,,76.0,702,15.5,13.4,3.1,42.0,,"University of California, Los Angeles",3rd overall,1st round,Seattle SuperSonics,1969,6-2,"Wyandotte in Kansas City, Kansas",Lucius Allen,Point Guard,Right,175lb
allenma01,"June 27, 1978","Willingboro, New Jersey",0.5,43.9,18.8,77.8,478,9.9,4.9,2.8,6.6,44.0,Villanova University,,,,,6-10,"Shawnee in Medford, New Jersey",Malik Allen,Power Forward,Right,255lb
allenra01,"January 26, 1965","Milton, Florida",0.3,44.2,0.0,53.3,70,8.3,3.6,2.1,0.2,44.2,Florida State University,,,,,6-8,"Milton in Milton, Florida",Randy Allen,Shooting Guard,Right,220lb
allenra02,"July 20, 1975","Merced, California",3.4,45.2,40.0,89.4,1300,18.6,18.9,4.1,145.1,53.0,University of Connecticut,5th overall,1st round,Minnesota Timberwolves,1996,6-5,"Hillcrest in Dalzell, South Carolina",Ray Allen,Shooting Guard,Right,205lb
allento01,"January 11, 1982","Chicago, Illinois",1.3,47.5,28.2,70.9,820,14.2,8.1,3.5,38.7,48.7,"Butler County Community College, Oklahoma State University",25th overall,1st round,Boston Celtics,2004,6-4,"Crane Technical Preparatory in Chicago, Illinois",Tony Allen,Shooting Guard and Small Forward and Point Guard,Right,213lb
allenwi01,"February 8, 1949",,0.6,30.8,-,83.3,7,5.7,1.9,2.0,0.0,30.8,University of Miami,60th overall,4th round,Baltimore Bullets,1971,6-6,"Richard Montgomery in Rockville, Maryland",Willie Allen,Power Forward,Right,230lb
allisod01,"October 2, 1949",,0.3,21.8,,54.1,36,4.7,1.9,1.3,-0.6,,"University of Nevada, Las Vegas",76th overall,5th round,Golden State Warriors,1971,6-6,"McClymonds in Oakland, California",Odis Allison,Small Forward,Right,195lb
allrela01,"February 2, 1981","Salt Lake City, Utah",0.0,25.0,-,50.0,3,-1.0,1.0,0.3,0.0,25.0,"University of Utah, Weber State University",,,,,6-11,"East in Salt Lake City, Utah",Lance Allred,Center,Right,250lb
allumda01,"September 12, 1958","Los Angeles, California",1.1,34.3,0.0,59.1,22,5.3,2.7,3.0,-0.3,34.3,"University of California, Los Angeles",103rd overall,5th round,Dallas Mavericks,1980,6-9,"Lynwood in Lynwood, California",Darrell Allums,Power Forward,Right,220lb
almonmo01,"February 2, 1985","Dalton, Georgia",0.3,38.1,29.2,74.3,38,7.0,3.1,1.2,0.0,41.2,Rice University,25th overall,1st round,Utah Jazz,2007,6-6,"McEachern in Powder Springs, Georgia",Morris Almond,Shooting Guard,Right,225lb
alstode01,"August 20, 1972","Bronx, New York",0.7,48.9,14.3,48.7,139,11.7,5.4,3.8,2.6,49.0,Duquesne University,33rd overall,2nd round,Philadelphia 76ers,1994,6-11,"Hoboken in Hoboken, New Jersey",Derrick Alston,Center,Right,225lb
alstora01,"July 24, 1976","New York, New York",4.8,38.3,35.4,72.9,671,13.2,10.1,2.8,32.9,46.1,"California State University, Fresno",39th overall,2nd round,Milwaukee Bucks,1998,6-2,"Benjamin Cardozo in Bayside, New York",Rafer Alston,Point Guard,Right,171lb
alumape01,"April 23, 1973","Lagos, Nigeria",0.0,50.0,-,-,2,3.1,1.0,1.0,0.0,50.0,Liberty University,,,,,6-10,"Okota Grammar School in Isolo, Nigeria",Peter Aluma,Center,Right,260lb
amaecjo01,"November 26, 1970","Boston, Massachusetts",0.8,40.3,7.7,67.1,294,8.9,6.2,2.6,0.5,40.3,"Vanderbilt University, Pennsylvania State University",,,,,6-10,"Saint John's in Toledo, Ohio",John Amaechi,Power Forward and Center,Right,270lb
amayaas01,"November 23, 1971","Oak Park, Illinois",0.4,45.5,50.0,63.3,85,11.5,4.5,4.2,1.9,45.7,Southern Illinois University,,,,,6-8,"Walther Lutheran in Melrose Park, Illinois",Ashraf Amaya,Power Forward,Right,230lb
aminual01,"September 21, 1990","Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,6-9,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb
amundlo01,"December 7, 1982","Ventura, California",0.4,47.4,0.0,44.4,428,12.0,3.7,3.6,6.9,47.4,"University of Nevada, Las Vegas",,,,,6-9,"Monarch in Louisville, Colorado",Lou Amundson,Power Forward,Right,220lb
anderbo01,"August 24, 1937","Monroe, Wisconsin",0.9,38.5,,54.8,33,9.3,4.0,2.1,0.0,,Michigan State University,20th overall,3rd round,New York Knicks,1959,6-3,"Monroe in Monroe, Wisconsin",Bob Anderegg,Small Forward,Right,200lb
anderch01,"July 7, 1978","Long Beach, California",0.5,53.2,22.1,65.4,695,16.7,5.4,5.0,39.7,53.5,Blinn College,,,,,6-10,"Iola in Iola, Texas",Chris Andersen,Power Forward and Center,Right,245lb
anderda03,"June 23, 1980","Carlton, Australia",0.6,44.0,34.7,67.4,103,11.7,4.9,2.8,1.5,47.8,,37th overall,2nd round,Atlanta Hawks,2002,6-11,,David Andersen,Power Forward and Center,Right,245lb
anderal01,"October 16, 1982","Minneapolis, Minnesota",1.1,40.5,34.4,81.6,330,10.3,7.3,2.2,7.4,48.4,Michigan State University,,,,,6-6,"DeLaSalle in Minneapolis, Minnesota",Alan Anderson,Shooting Guard and Small Forward,Right,220lb
anderan01,"July 6, 1945","Buffalo, New York",1.7,41.0,15.9,75.5,194,10.9,10.7,2.7,3.5,41.3,Canisius College,88th overall,8th round,Boston Celtics,1967,6-2,,Andrew Anderson,Shooting Guard and Point Guard,Right,184lb
anderan02,"June 5, 1985","Lynn, Massachusetts",0.0,33.3,-,-,1,-1.7,2.0,1.0,0.0,33.3,University of Memphis,,,,,6-6,"Laurinburg Institute in Laurinburg, North Carolina",Antonio Anderson,Small Forward,Right,215lb
andercl01,"September 7, 1944",,0.9,35.4,-,58.5,84,10.6,3.0,1.3,0.3,35.4,Saint Joseph's University,35th overall,4th round,Los Angeles Lakers,1967,6-2,"Thomas Edison in Philadelphia, Pennsylvania",Cliff Anderson,Shooting Guard,Right,200lb
anderda01,"February 15, 1943","Minneapolis, Minnesota",1.1,48.1,-,72.7,140,17.5,12.2,9.4,10.9,48.1,Augsburg College,89th overall,12th round,Philadelphia 76ers,1965,6-10,,Dan Anderson,Center,Right,230lb
anderda02,"January 1, 1951",,1.7,47.2,,84.6,95,12.3,3.7,1.0,1.6,,University of Southern California,92nd overall,6th round,Portland Trail Blazers,1974,6-2,"North Torrance in Torrance, California",Dan Anderson,Point Guard and Shooting Guard,Right,185lb
anderde01,"July 18, 1974","Louisville, Kentucky",3.4,40.8,34.1,85.3,615,15.3,12.0,3.2,43.9,46.3,"Ohio State University, University of Kentucky",13th overall,1st round,Cleveland Cavaliers,1997,6-5,"Doss in Louisville, Kentucky",Derek Anderson,Shooting Guard and Small Forward and Point Guard,Right,194lb
anderdw01,"December 28, 1960","Dayton, Ohio",0.6,50.0,-,70.0,5,10.6,4.2,0.4,0.0,50.0,"University of Kentucky, University of Southern California",41st overall,2nd round,Washington Bullets,1982,6-3,"Roth in Dayton, Ohio",Dwight Anderson,Point Guard,Right,185lb
anderer01,"May 26, 1970","Chicago, Illinois",0.2,34.3,100.0,59.3,27,13.1,1.6,1.1,0.2,37.1,Indiana University,,,,,6-9,"Saint Francis DeSales in Chicago, Illinois",Eric Anderson,Power Forward,Right,220lb
andergr01,"June 22, 1964","Houston, Texas",0.6,49.2,8.7,55.7,680,13.0,7.3,6.2,18.7,49.2,University of Houston,23rd overall,1st round,San Antonio Spurs,1987,6-10,"Evan E. Worthing in Houston, Texas",Greg Anderson,Center and Power Forward,Right,230lb
anderjj01,"September 23, 1960","Chicago, Illinois",0.7,46.5,0.0,55.8,157,12.1,4.8,2.8,2.7,46.5,Bradley University,36th overall,2nd round,Philadelphia 76ers,1982,6-8,"Metro in Chicago, Illinois",J.J. Anderson,Small Forward,Right,195lb
anderja01,"March 25, 1989","El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-6,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb
anderje01,"October 9, 1953","Mullens, West Virginia",0.3,49.0,,69.4,49,11.4,2.6,0.5,0.4,,West Virginia University,53rd overall,3rd round,Boston Celtics,1975,6-5,"Mullens in Mullens, West Virginia",Jerome Anderson,Shooting Guard,Right,195lb
anderju01,"November 19, 1993","Montross, Virginia",0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49.0,University of Virginia,21st overall,1st round,Dallas Mavericks,2015,6-6,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230lb
anderke01,"October 9, 1970","Queens, New York",6.1,42.1,34.6,79.0,858,16.4,12.6,3.1,62.5,44.9,Georgia Institute of Technology,2nd overall,1st round,New Jersey Nets,1991,6-0,"Archbishop Molloy in Jamaica, New York",Kenny Anderson,Point Guard,Left,168lb
anderki01,"May 12, 1955","Sedalia, Missouri",0.7,31.2,,53.6,21,3.0,3.0,2.1,-0.4,,University of Missouri,28th overall,2nd round,Portland Trail Blazers,1977,6-7,"Smith-Cotton in Sedali, Missouri",Kim Anderson,Small Forward,Right,200lb
anderky01,"September 20, 1993","Fairview, New Jersey",1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,6-9,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb
andermi01,"March 23, 1966","Philadelphia, Pennsylvania",4.3,41.7,14.3,69.5,36,10.5,5.7,2.5,0.2,42.0,Drexel University,73rd overall,3rd round,Indiana Pacers,1988,5-11,"George Washington Carver High School of Engineering and Science in Philadelphia, Pennsylvania",Michael Anderson,Point Guard,Right,184lb
anderni01,"January 20, 1968","Chicago, Illinois",2.6,44.6,35.6,66.7,800,15.8,14.4,5.1,55.3,50.0,University of Illinois at Urbana-Champaign,11th overall,1st round,Orlando Magic,1989,6-6,"Simeon Vocational School in Chicago, Illinois",Nick Anderson,Shooting Guard and Small Forward,Right,205lb
anderri01,"November 19, 1960","San Pedro, California",1.5,41.2,33.3,76.2,407,12.3,5.6,3.5,7.6,44.6,"University of California, Santa Barbara",32nd overall,2nd round,San Diego Clippers,1982,6-10,"Rancho Alamitos in Garden Grove, California",Richard Anderson,Center and Power Forward,Right,240lb
anderro01,"October 15, 1958","Chicago, Illinois",1.4,47.1,28.7,81.4,664,14.3,10.6,3.5,24.2,47.9,"California State University, Fresno",27th overall,2nd round,Cleveland Cavaliers,1984,6-7,"Bowen in Chicago, Illinois",Ron Anderson,Small Forward,Right,215lb
anderry01,"May 6, 1988","Sacramento, California",0.9,42.2,38.0,85.4,647,16.5,12.4,5.3,46.7,52.3,University of California,21st overall,1st round,New Jersey Nets,2008,6-10,"Oak Ridge in El Dorado Hills, California",Ryan Anderson,Power Forward,Right,240lb
andersh01,"December 31, 1973","Atlanta, Georgia",1.4,45.7,31.6,73.9,719,11.7,7.4,3.1,23.6,49.2,University of Georgia,54th overall,2nd round,Utah Jazz,1996,6-6,"Crim in Atlanta, Georgia",Shandon Anderson,Small Forward and Shooting Guard,Right,208lb
anderwi01,"January 8, 1967","Greenville, South Carolina",3.8,47.1,26.6,78.6,555,13.8,12.2,3.8,27.9,47.9,University of Georgia,10th overall,1st round,San Antonio Spurs,1988,6-7,"East Atlanta in Atlanta, Georgia",Willie Anderson,Shooting Guard and Small Forward,Right,190lb
